pfam02950	Conotoxin
pfam18971	CagA protein
pfam11448	Protein of unknown function (DUF3005)
pfam19386	Family of unknown function (DUF5961)
pfam12990	Domain of unknonw function from B. Theta Gene description (DUF3874)
pfam07281	Insulin-induced protein (INSIG)
pfam01052	Type III flagellar switch regulator (C-ring) FliN C-term
pfam10843	Respiratory growth induced protein 1 
pfam04354	ZipA, C-terminal FtsZ-binding domain
pfam16795	Archaeal phage integrase
pfam06277	Ethanolamine utilisation protein EutA
pfam01443	Viral (Superfamily 1) RNA helicase
pfam08620	RPAP1-like, C-terminal
pfam19951	Family of unknown function (DUF6413)
pfam05315	ICEA Protein
pfam00848	Ring hydroxylating alpha subunit (catalytic domain)
pfam03521	Kv2 voltage-gated K+ channel
pfam16472	Domain of unknown function (DUF5050)
pfam00525	Alpha crystallin A chain, N terminal
pfam15980	Putative Competence protein ComGF
pfam06732	Pescadillo N-terminus
pfam03315	Serine dehydratase beta chain
pfam17376	Family of unknown function (DUF5398)
pfam09010	Anti-Sigma Factor A
pfam14804	Jag N-terminus
pfam00311	Phosphoenolpyruvate carboxylase
pfam16156	Domain of unknown function (DUF4864)
pfam00189	Ribosomal protein S3, C-terminal domain
pfam16957	Malonate decarboxylase, alpha subunit, transporter
pfam01660	Viral methyltransferase
pfam09271	LAG1, DNA binding
pfam04899	MbeD/MobD like 
pfam13980	Uncharacterised protein family (UPF0370)
pfam04961	Formiminotransferase-cyclodeaminase
pfam06547	Protein of unknown function (DUF1117)
pfam05521	Phage head-tail joining protein 
pfam18009	4Fe-4S iron-sulfur cluster binding domain
pfam19364	Family of unknown function (DUF5940)
pfam14612	IEC3 subunit of the Ino80 complex, chromatin re-modelling
pfam08251	Mastoparan peptide
pfam16919	Protein kinase G rubredoxin domain
pfam08094	Conotoxin TVIIA/GS family
pfam02214	BTB/POZ domain
pfam07767	Nop53 (60S ribosomal biogenesis)
pfam11699	Mif2/CENP-C like
pfam04195	Putative gypsy type transposon
pfam15107	FAM216B protein family
pfam17774	Putative RNA-binding domain in YlmH
pfam02420	Insect antifreeze protein repeat
pfam10412	Type IV secretion-system coupling protein DNA-binding domain
pfam07434	CblD like pilus biogenesis initiator
pfam16646	Axin-1 tankyrase binding domain
pfam15906	Zinc-finger of nitric oxide synthase-interacting protein
pfam09377	SBDS protein C-terminal domain
pfam08181	DegQ (SacQ) family
pfam00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
pfam00885	6,7-dimethyl-8-ribityllumazine synthase
pfam03881	Fructosamine kinase
pfam14860	DrrA phosphatidylinositol 4-phosphate binding domain
pfam00038	Intermediate filament protein
pfam05170	AsmA family
pfam14132	Domain of unknown function (DUF4299)
pfam19766	Family of unknown function (DUF6253)
pfam11485	Protein of unknown function (DUF3211)
pfam10001	Uncharacterized protein conserved in bacteria (DUF2242)
pfam19300	Binding-prot-dependent transport system membrane comp, N-term
pfam16286	Domain of unknown function (DUF4932)
pfam08357	SEFIR domain
pfam13005	zinc-finger binding domain of transposase IS66 
pfam01812	5-formyltetrahydrofolate cyclo-ligase family
pfam10033	Autophagy-related protein 13
pfam07919	Gryzun, putative trafficking through Golgi
pfam04751	Protein of unknown function (DUF615)
pfam13518	Helix-turn-helix domain
pfam19815	Family of unknown function (DUF6298)
pfam19287	Family of unknown function (DUF5910)
pfam17539	Family of unknown function (DUF5456)
pfam19639	Family of unknown function (DUF6142)
pfam16767	Sensor domain of alginate biosynthesis sensor protein KinB
pfam09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)
pfam02896	PEP-utilising enzyme, PEP-binding domain
pfam03938	Outer membrane protein (OmpH-like)
pfam08164	Apoptosis-antagonizing transcription factor, C-terminal
pfam07957	Protein of unknown function (DUF3294)
pfam03864	Phage major capsid protein E
pfam05886	Orthopoxvirus F8 protein
pfam06376	Arabinogalactan peptide
pfam03513	Cloacin immunity protein
pfam07156	Prenylcysteine lyase
pfam10905	Protein of unknown function (DUF2695)
pfam19647	Family of unknown function (DUF6150)
pfam17547	Family of unknown function (DUF5462)
pfam13627	Prokaryotic lipoprotein-attachment site
pfam13901	Putative zinc-RING and/or ribbon
pfam15079	Testis-specific protein 35
pfam13933	Putative peptidase family
pfam12942	Archaeal ammonia monooxygenase subunit A (AmoA)
pfam15350	Ewing's tumour-associated antigen 1 homologue
pfam02552	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
pfam19381	Family of unknown function (DUF5956)
pfam10080	Membrane iron-sulfur containing protein FtrD-like
pfam18976	Family of unknown function (DUF5712)
pfam04065	Not1 N-terminal domain, CCR4-Not complex component 
pfam18177	La HTH in kinetoplastid DICER domain
pfam07286	Protein of unknown function (DUF1445)
pfam19119	Family of unknown function (DUF5803)
pfam13877	Potential Monad-binding region of RPAP3
pfam16434	Domain of unknown function (DUF5031)
pfam07646	Kelch motif
pfam03526	Colicin E1 (microcin) immunity protein
pfam09546	Stage III sporulation protein AE (spore_III_AE)
pfam04984	Phage tail sheath protein subtilisin-like domain
pfam19956	Effector-associated domain 2
pfam08100	Dimerisation domain
pfam19157	Family of unknown function (DUF5839)
pfam03800	Nuf2 family
pfam18075	FtsX extracellular domain
pfam04966	Carbohydrate-selective porin, OprB family
pfam05526	Rhodococcus equi virulence-associated protein
pfam04167	Protein of unknown function (DUF402)
pfam00316	Fructose-1-6-bisphosphatase, N-terminal domain
pfam05800	Gas vesicle synthesis protein GvpO
pfam16151	Domain of unknown function (DUF4859)
pfam17371	Family of unknown function (DUF5393)
pfam02759	RUN domain
pfam09276	Pertussis toxin S5 subunit 
pfam13350	Tyrosine phosphatase family
pfam19055	ABC-2 type transporter
pfam07264	Etoposide-induced protein 2.4 (EI24)
pfam15877	Transmembrane protein family 232
pfam16387	Domain of unknown function
pfam08256	Aurein-like antibiotic peptide
pfam08987	Protein of unknown function (DUF1892)
pfam05513	TraA
pfam05864	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)
pfam17277	Family of unknown function (DUF5342)
pfam03886	ABC-type transport auxiliary lipoprotein component
pfam08186	Wound-inducible basic protein family
pfam01124	MAPEG family
pfam15933	Antitoxin to bacterial toxin RNase LS or RnlA
pfam17732	Family of unknown function (DUF5571)
pfam13079	Protein of unknown function (DUF3916)
pfam00714	Interferon gamma
pfam00323	Mammalian defensin
pfam15627	CEP76 C2 domain
pfam15901	Sortilin, neurotensin receptor 3, C-terminal
pfam16641	CLIP1 zinc knuckle
pfam07472	Fucose-binding lectin II (PA-IIL)
pfam10006	Uncharacterized conserved protein (DUF2249)
pfam15518	L protein N-terminus
pfam07200	Modifier of rudimentary (Mod(r)) protein
pfam07795	Protein of unknown function (DUF1635)
pfam14174	YycC-like protein
pfam05938	Plant self-incompatibility protein S1
pfam19761	Family of unknown function (DUF6248)
pfam10328	Serpentine type 7TM GPCR chemoreceptor Srx
pfam16550	UCH-binding domain
pfam02368	Bacterial Ig-like domain (group 2)
pfam02745	Methyl-coenzyme M reductase alpha subunit, N-terminal domain
pfam10378	Putative RRM domain  
pfam05600	CDK5 regulatory subunit-associated protein 3
pfam06940	Domain of unknown function (DUF1287)
pfam19218	Coronavirus replicase NSP3, C-terminal
pfam14124	Domain of unknown function (DUF4291)
pfam19037	Second Longin domain of FUZ, MON1 and HPS1
pfam01174	SNO glutamine amidotransferase family
pfam17227	Family of unknown function (DUF5302)
pfam12363	Phage tail assembly chaperone protein, TAC
pfam07422	Sexual stage antigen s48/45 domain
pfam00373	FERM central domain
pfam15677	Cell cycle exit and neuronal differentiation protein 1
pfam08496	Peptidase family S49 N-terminal
pfam13029	Domain of unknown function (DUF3890)
pfam19049	SidE DUB domain
pfam09213	M3
pfam10230	Lipid-droplet associated hydrolase
pfam03686	Uncharacterised protein family (UPF0146)
pfam13793	N-terminal domain of ribose phosphate pyrophosphokinase
pfam11966	SSURE domain
pfam11167	Protein of unknown function (DUF2953)
pfam15827	UPF0730 unknown protein family
pfam16841	Ca-dependent carbohydrate-binding module xylan-binding
pfam05576	PS-10 peptidase S37
pfam18340	DNA relaxase TraI 2B/2B-like domain
pfam18025	Alpha-(1,3)-fucosyltransferase FucT N-terminal domain
pfam03798	TLC domain
pfam03246	Pneumovirus nucleocapsid protein
pfam09226	Restriction endonuclease HincII
pfam17321	Vacuole-related protein 17
pfam00702	haloacid dehalogenase-like hydrolase
pfam06724	Domain of Unknown Function (DUF1206)
pfam11065	Protein of unknown function (DUF2866)
pfam12783	Guanine nucleotide exchange factor in Golgi transport N-terminal
pfam03576	Peptidase family S58 
pfam19615	Family of unknown function (DUF6120)
pfam17515	Cypovirus polyhedrin
pfam06313	Drosophila ACP53EA protein
pfam19839	Ribbon-helix-helix protein
pfam07935	ORF D-335-like protein
pfam05246	Protein of unknown function (DUF735)
pfam05798	Bacteriophage FRD3 protein
pfam02696	Protein adenylyltransferase SelO
pfam02788	Ribulose bisphosphate carboxylase large chain, N-terminal domain
pfam03664	Glycosyl hydrolase family 62 
pfam05686	Glycosyl transferase family 90
pfam16318	Domain of unknown function (DUF4957)
pfam19847	Family of unknown function (DUF6322)
pfam13827	Domain of unknown function (DUF4189)
pfam18127	Nicotinamide phosphoribosyltransferase, N-terminal domain
pfam15793	Protein family FAM35, C-terminal
pfam11984	Protein of unknown function (DUF3485)
pfam00509	Haemagglutinin
pfam18926	2TM family of unknown function (DUF5676)
pfam17992	Agarase CBM like domain
pfam06326	Vesiculovirus matrix protein
pfam19135	Protein of unknown function (DUF5818)
pfam18538	Domain of unknown function (DUF5624)
pfam12597	Protein of unknown function (DUF3767)
pfam15029	Transmembrane protein 174
pfam08918	PhoQ Sensor
pfam13677	Membrane MotB of proton-channel complex MotA/MotB 
pfam06008	Laminin Domain I
pfam11751	Type IX secretion system membrane protein PorP/SprF
pfam09192	Actin-fragmin kinase, catalytic
pfam08533	Beta-galactosidase C-terminal domain
pfam07846	Metallothionein family
pfam08501	Shikimate dehydrogenase substrate binding domain
pfam16031	TonB polyproline region
pfam15587	Immunity protein 9
pfam18913	Fructose-1-6-bisphosphatase, C-terminal domain
pfam16003	Domain of unknown function (DUF4776)
pfam03600	Citrate transporter
pfam13905	Thioredoxin-like
pfam10901	Protein of unknown function (DUF2690)
pfam10627	Curli assembly protein CsgE
pfam05323	Poxvirus A21 Protein
pfam05714	Borrelia Bbcrasp-1 domain containing protein
pfam10933	Protein of unknown function (DUF2827)
pfam12874	Zinc-finger of C2H2 type
pfam00864	ATP P2X receptor
pfam00513	Late Protein L2
pfam11464	Rabenosyn Rab binding domain
pfam15328	Putative GRINL1B complex locus protein 2
pfam00938	Lipoprotein
pfam06309	Torsin
pfam17110	Subunit 11 of the general transcription factor TFIIH
pfam15006	Domain of unknown function (DUF4517)
pfam10518	TAT (twin-arginine translocation) pathway signal sequence
pfam19811	Family of unknown function (DUF6294)
pfam04755	PAP_fibrillin
pfam16394	Domain of unknown function (DUF5003)
pfam08994	T4 gene Gp59 loader of gp41 DNA helicase C-term
pfam16688	Replicase polyprotein N-term from Coronavirus nsp1
pfam11272	Protein of unknown function (DUF3072)
pfam00800	Prephenate dehydratase
pfam05316	Mitochondrial ribosomal protein (VAR1)
pfam11737	Protein of unknown function (DUF3300)
pfam00526	Dictyostelium (slime mold) repeat
pfam18909	Domain of unknown function (DUF5664)
pfam01477	PLAT/LH2 domain
pfam06243	Phenylacetic acid degradation B
pfam16019	Cysteine/serine-rich nuclear protein N-terminus
pfam04061	ORMDL family 
pfam13080	Protein of unknown function (DUF3926)
pfam19530	NAD(P)H-quinone oxidoreductase subunit 2 N-terminal
pfam14427	Pput_2613-like deaminase
pfam17630	Family of unknown function (DUF5511)
pfam06683	Protein of unknown function (DUF1184)
pfam19385	Family of unknown function (DUF5960)
pfam12624	N-terminal region of Chorein or VPS13
pfam10877	Protein of unknown function (DUF2671)
pfam20082	Family of unknown function (DUF6476)
pfam09910	Uncharacterized protein conserved in archaea (DUF2139)
pfam11749	Protein of unknown function (DUF3305)
pfam04222	Protein of unknown function (DUF416)
pfam02867	Ribonucleotide reductase, barrel domain
pfam16796	Microtubule binding
pfam16057	Domain of unknown function (DUF4800)
pfam16248	Domain of unknown function (DUF4905)
pfam16578	Interleukin 17 receptor D
pfam19294	Domain of unknown function (DUF5912)
pfam15080	Domain of unknown function (DUF4547)
pfam19051	Oxidoreductase family, C-terminal alpha/beta domain
pfam10350	Putative death-receptor fusion protein (DUF2428)
pfam09209	HTH-type transcriptional dual regulator CecR, C-terminal domain
pfam17375	Family of unknown function (DUF5397)
pfam16155	Domain of unknown function (DUF4863)
pfam06573	Churchill protein
pfam11542	Mitochondrial division protein 1
pfam12090	Spt20 family
pfam18071	HMW1C N-terminal
pfam18210	Knl1 RWD C-terminal domain
pfam07791	Protein of unknown function (DUF1629)
pfam19765	Family of unknown function (DUF6252)
pfam11486	Protein of unknown function (DUF3212)
pfam19348	Family of unknown function (DUF5926)
pfam13328	HD domain
pfam18424	Alpha-Dystroglycan N-terminal domain 2
pfam13006	Insertion element 4 transposase N-terminal
pfam16817	Domain of unknown function (DUF5073)
pfam16285	Domain of unknown function (DUF4931)
pfam04196	Bunyavirus RNA dependent RNA polymerase
pfam10079	Bacillithiol biosynthesis BshC 
pfam03714	Bacterial pullanase-associated domain
pfam09343	Conserved hypothetical protein 2217 (DUF2460)
pfam03323	Bacillus/Clostridium GerA spore germination protein
pfam15905	Hyaluronan mediated motility receptor N-terminal
pfam16645	Unstructured region on Pneumococcal histidine triad protein
pfam04997	RNA polymerase Rpb1, domain 1
pfam16859	Tetracyclin repressor-like, C-terminal domain
pfam00886	Ribosomal protein S16
pfam02069	Prokaryotic metallothionein
pfam06516	Purine nucleoside permease (NUP)
pfam03373	Octapeptide repeat
pfam19454	Family of unknown function (DUF5992)
pfam10029	Predicted periplasmic protein (DUF2271)
pfam16936	Putative holin
pfam04486	SchA/CurD like domain
pfam16137	Domain of unknown function (DUF4845)
pfam18474	Family of unknown function (DUF5614)
pfam13378	Enolase C-terminal domain-like
pfam08734	GYD domain
pfam10587	Eukaryotic elongation factor 1 beta central acidic region
pfam11196	Terpene cyclase DEP1
pfam16149	Domain of unknown function (DUF4857)
pfam11997	Domain of unknown function (DUF3492)
pfam02741	FTR, proximal lobe
pfam00798	Arenavirus glycoprotein
pfam00246	Zinc carboxypeptidase
pfam17040	Cellulose-complementing protein A
pfam06523	Protein of unknown function (DUF1106)
pfam17325	Stationary phase protein 4
pfam03702	Anhydro-N-acetylmuramic acid kinase
pfam12584	Trafficking protein particle complex subunit 10, TRAPPC10
pfam18262	Phe-tRNA synthetase beta subunit B1 domain
pfam16617	Intersectin and clathrin adaptor AP2 binding region
pfam18021	Agglutinin C-terminal
pfam08467	Luteovirus RNA polymerase P1-P2/replicase
pfam04542	Sigma-70 region 2 
pfam10793	Gloverin-like protein 
pfam05509	TraY domain
pfam16845	Aspartic acid proteinase inhibitor
pfam16528	Exocyst component 84 C-terminal
pfam08336	Prolyl 4-Hydroxylase alpha-subunit, N-terminal region
pfam13230	Glutamine amidotransferases class-II
pfam15594	Immunity protein 50
pfam14952	Putative treble-clef, zinc-finger, Zn-binding
pfam00686	Starch binding domain
pfam09962	Uncharacterized conserved protein (DUF2196)
pfam17908	APAF-1 helical domain
pfam10827	Protein of unknown function (DUF2552) 
pfam12674	Putative zinc ribbon domain
pfam03509	Gap junction alpha-8 protein (Cx50)
pfam14477	Membrane-polarising domain of Mso1
pfam00664	ABC transporter transmembrane region
pfam04272	Phospholamban
pfam15230	Serine/arginine repetitive matrix protein C-terminus
pfam12566	Protein of unknown function (DUF3748)
pfam05702	Herpesvirus UL49.5 envelope/tegument protein
pfam11222	Protein of unknown function (DUF3017)
pfam04749	PLAC8 family
pfam07903	PaRep2a protein
pfam04400	(Na+)-NQR maturation NqrM
pfam07931	Chloramphenicol phosphotransferase-like protein
pfam11061	Protein of unknown function (DUF2862)
pfam01427	D-ala-D-ala dipeptidase
pfam00576	HIUase/Transthyretin family
pfam17511	Mobilization protein B
pfam19611	Family of unknown function (DUF6116)
pfam16888	Domain of unknown function (DUF5082)
pfam16035	Chalcone isomerase like
pfam00600	Influenza non-structural protein (NS1)
pfam15378	Domain of unknown function (DUF4605)
pfam08505	Mitochondrial Myo2 receptor-related protein
pfam09108	Switch protein XOL-1, N-terminal
pfam17162	Domain of unknown function (DUF5118)
pfam06092	Enterobacterial putative membrane protein (DUF943)
pfam12824	Mitochondrial ribosomal protein subunit L20
pfam06883	RNA polymerase I, Rpa2 specific domain 
pfam17830	STI1 domain
pfam10677	Protein of unknown function (DUF2490)
pfam05373	L-proline 3-hydroxylase, C-terminal
pfam11755	Protein of unknown function (DUF3311)
pfam19131	Family of unknown function (DUF5814)
pfam02667	Short chain fatty acid transporter
pfam04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase 
pfam19103	Family of unknown function (DUF5790)
pfam18241	Flax-rust effector AvrM-A 
pfam15670	Spermatid maturation protein 1
pfam04632	Fusaric acid resistance protein family
pfam00308	Bacterial dnaA  protein
pfam06939	Protein of unknown function (DUF1286)
pfam03392	Insect pheromone-binding family, A10/OS-D
pfam14489	QueF-like protein
pfam17220	Protein of unknown function (DUF5137)
pfam12234	RAVE protein 1 C terminal
pfam16519	Tetramerisation domain of TRPM
pfam00026	Eukaryotic aspartyl protease
pfam06947	Protein of unknown function (DUF1290)
pfam10303	Protein of unknown function (DUF2408)
pfam01199	Ribosomal protein L34e
pfam14695	Lines C-terminus
pfam19030	Thrombospondin type 1 domain
pfam04561	RNA polymerase Rpb2, domain 2
pfam13580	SIS domain
pfam06146	Phosphate-starvation-inducible E family
pfam13335	Magnesium chelatase, subunit ChlI C-terminal
pfam11104	Type IV pilus assembly protein PilM;
pfam16557	CUT1-like DNA-binding domain of SATB
pfam18681	Family of unknown function (DUF5634)
pfam13491	4TM region of DNA translocase FtsK/SpoIIIE
pfam10495	Pericentrin-AKAP-450 domain of centrosomal targeting protein
pfam04112	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
pfam10249	NADH-ubiquinone oxidoreductase subunit 10
pfam11832	Protein of unknown function (DUF3352)
pfam00013	KH domain
pfam18347	Domain of unknown function (DUF5606)
pfam00432	Prenyltransferase and squalene oxidase repeat
pfam17414	MatP C-terminal ribbon-helix-helix domain
pfam06656	Tenuivirus PVC2 protein
pfam10689	Protein of unknown function (DUF2496)
pfam10772	Protein of unknown function (DUF2597)
pfam15820	Endothelial cell-specific chemotaxis regulator
pfam11160	Hypervirulence associated proteins TUDOR domain
pfam15506	OCC1 family
pfam02762	CBL proto-oncogene N-terminus, SH2-like domain
pfam01895	PhoU domain
pfam10018	Vitamin-D-receptor interacting Mediator subunit 4
pfam10237	Probable N6-adenine methyltransferase
pfam18339	RapA N-terminal Tudor like domain 1
pfam18120	Domain of unknown function (DUF5597)
pfam13820	Putative nucleic acid-binding region
pfam19840	Family of unknown function (DUF6317)
pfam17141	Domain of unknown function (DUF5114)
pfam12481	Aluminium induced protein 
pfam04293	SpoVR like protein
pfam13506	Glycosyl transferase family 21
pfam10579	Rapsyn N-terminal myristoylation and linker region
pfam15491	CST, telomere maintenance, complex subunit CTC1
pfam14298	Domain of unknown function (DUF4374)
pfam02569	Pantoate-beta-alanine ligase
pfam14746	WASH complex subunit 7, C-terminal
pfam15335	Caspase activity and apoptosis inhibitor 1
pfam15580	Immunity protein 53
pfam11453	Protein of unknown function (DUF2950)
pfam16078	2-oxoglutarate dehydrogenase N-terminus
pfam00925	GTP cyclohydrolase II
pfam03607	Doublecortin
pfam03921	Intercellular adhesion molecule (ICAM), N-terminal domain
pfam09941	Uncharacterized conserved protein (DUF2173)
pfam16712	Coiled-coil regions of plant-specific actin-binding protein
pfam19551	Family of unknown function (DUF6074)
pfam17651	RACo middle region
pfam10858	Protein of unknown function (DUF2659)
pfam02382	N-terminal domain in RTX protein
pfam05392	Cytochrome C oxidase chain VIIB
pfam13670	Peptidase propeptide and YPEB domain
pfam06073	Bacterial protein of unknown function (DUF934)
pfam01458	SUF system FeS cluster assembly, SufBD
pfam14344	Domain of unknown function (DUF4397)
pfam11042	Protein of unknown function (DUF2750)
pfam12590	Acyl-ATP thioesterase
pfam18571	von Willebrand factor type A C-terminal domain
pfam00853	Runt domain
pfam06023	CRISPR-associated exonuclease Csa1
pfam17540	Family of unknown function (DUF5457)
pfam19640	Family of unknown function (DUF6143)
pfam13620	Carboxypeptidase regulatory-like domain
pfam12084	Protein of unknown function (DUF3561)
pfam18521	Transactivation domain 2
pfam07950	Protein of unknown function (DUF1691)
pfam10148	Schwannomin-interacting protein 1
pfam04453	LPS transport system D
pfam03971	Monomeric isocitrate dehydrogenase
pfam16760	Starch/carbohydrate-binding module (family 53)
pfam00975	Thioesterase domain
pfam16028	Solute carrier family 3 member 2 N-terminus
pfam01344	Kelch motif
pfam15251	Domain of unknown function (DUF4588)
pfam05009	Epstein-Barr virus nuclear antigen 3 (EBNA-3)
pfam04042	DNA polymerase alpha/epsilon subunit B
pfam00143	Interferon alpha/beta domain
pfam19280	Ceramide kinase C-terminal domain
pfam15094	Domain of unknown function (DUF4556)
pfam16306	Domain of unknown function (DUF4948)
pfam12965	Domain of unknown function (DUF3854)
pfam10529	Histidine-rich Calcium-binding repeat region
pfam08906	Domain of unknown function (DUF1851)
pfam11293	Protein of unknown function (DUF3094)
pfam03807	NADP oxidoreductase coenzyme F420-dependent
pfam06016	Reovirus core-spike protein lambda-2 (L2)
pfam19150	Family of unknown function (DUF5832)
pfam08107	Pleurocidin family
pfam15181	Spermatid-specific manchette-related protein 1
pfam15319	RAD9, RAD1, HUS1-interacting nuclear orphan protein
pfam17851	Beta xylosidase C-terminal Concanavalin A-like domain 
pfam10658	Protein of unknown function (DUF2484)
pfam01746	tRNA (Guanine-1)-methyltransferase
pfam10087	Uncharacterized protein conserved in bacteria (DUF2325)
pfam01298	C-lobe and N-lobe beta barrels of Tf-binding protein B
pfam12191	Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain
pfam13870	Domain of unknown function (DUF4201)
pfam06799	Conserved in the green lineage and diatoms 27
pfam16704	Rab binding domain
pfam15357	Psoriasis susceptibility 1 candidate 1
pfam00653	Inhibitor of Apoptosis domain
pfam02710	Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein
pfam04832	SOUL heme-binding protein
pfam07301	Protein of unknown function (DUF1453)
pfam15870	ElonginA binding-protein 1
pfam10722	Putative bacterial sensory transduction regulator
pfam07333	S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)
pfam16380	Domain of unknown function
pfam19206	Family of unknown function (DUF5878)
pfam16535	Type III cell invasion protein SipB
pfam08005	PHR domain 
pfam11112	Pyocin activator protein PrtN
pfam14895	Protein phosphatase 1 inhibitor
pfam06592	Protein of unknown function (DUF1138)
pfam17338	Gene product 88
pfam13319	Protein of unknown function (DUF4090)
pfam13181	Tetratricopeptide repeat
pfam04160	Orf-X protein
pfam10185	Chaperone for wingless signalling and trafficking of LDL receptor
pfam18881	Family of unknown function (DUF5646)
pfam03009	Glycerophosphoryl diester phosphodiesterase family
pfam09468	Ydr279p protein family (RNase H2 complex component) wHTH domain
pfam13251	Domain of unknown function (DUF4042)
pfam17402	Family of unknown function (DUF5408)
pfam05971	RNA methyltransferase
pfam10255	RNA polymerase I-associated factor PAF67
pfam11632	Lactococcin G-beta
pfam13094	CENP-Q, a CENPA-CAD centromere complex subunit
pfam07207	Light regulated protein Lir1
pfam06856	Protein of unknown function (DUF1251)
pfam18315	Integron cassette protein VCH_CASS1 chain
pfam04104	Eukaryotic and archaeal DNA primase, large subunit
pfam12066	SERRATE/Ars2, N-terminal domain
pfam19463	Family of unknown function (DUF6000)
pfam15620	Centromere assembly component CENP-C middle DNMT3B-binding region
pfam00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
pfam17011	Domain of unknown function (DUF5093)
pfam14199	Domain of unknown function (DUF4317)
pfam08980	Domain of unknown function (DUF1883)
pfam01695	IstB-like ATP binding protein
pfam17270	Family of unknown function (DUF5336)
pfam11561	Single strand annealing-weakened 1
pfam15858	Late cornified envelope protein 6A family
pfam18685	Family of unknown function (DUF5635)
pfam17188	MucB/RseB C-terminal domain
pfam11990	Protein of unknown function (DUF3487)
pfam12448	Kinesin associated protein
pfam16862	Glycosyl hydrolase family 79 C-terminal beta domain
pfam13303	Phosphotransferase system, EIIC
pfam05925	Enterobacterial virulence protein IpgD
pfam14691	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
pfam10580	Gap junction protein N-terminal region
pfam13331	Domain of unknown function (DUF4093)
pfam02052	Gallidermin
pfam04565	RNA polymerase Rpb2, domain 3
pfam10335	Putative nucleotidyltransferase substrate binding domain
pfam05853	beta-keto acid cleavage enzyme
pfam18499	Ubc7p-binding region of Cue1
pfam07183	Protein of unknown function (DUF1403)
pfam16130	Domain of unknown function (DUF4842)
pfam02443	Circovirus capsid protein
pfam09046	AvrPtoB E3 ubiquitin ligase
pfam03026	Influenza C virus M1 protein
pfam18245	5-3 exonuclease XRN1 DCP1-binding motif
pfam08404	Baculoviridae P74 N-terminal
pfam03308	Methylmalonyl Co-A mutase-associated GTPase MeaB
pfam00392	Bacterial regulatory proteins, gntR family
pfam13018	Extended Signal Peptide of Type V secretion system
pfam01969	Protein of unknown function DUF111
pfam01891	Cobalt uptake substrate-specific transmembrane region
pfam13237	4Fe-4S dicluster domain
pfam09988	Uncharacterized metal-binding protein (DUF2227)
pfam03432	Relaxase/Mobilisation nuclease domain 
pfam17039	Fucosyltransferase, N-terminal
pfam13689	YfiR/HmsC-like
pfam13772	AIG2-like family
pfam07253	Gypsy protein
pfam19229	Family of unknown function (DUF5882)
pfam13249	Squalene-hopene cyclase N-terminal domain
pfam03013	Pyrimidine dimer DNA glycosylase
pfam16610	Unstructured region between two PDZ domains on Dlg5
pfam08460	Bacterial SH3 domain
pfam15579	Immunity protein 52
pfam10491	NLS-binding and DNA-binding and dimerisation domains of Nrf1
pfam13495	Phage integrase, N-terminal SAM-like domain
pfam19983	Family of unknown function (DUF6419)
pfam17047	Synaptotagmin-like mitochondrial-lipid-binding domain
pfam17258	Family of unknown function (DUF5324)
pfam01420	Type I restriction modification DNA specificity domain
pfam08643	Fungal family of unknown function (DUF1776)
pfam09836	Putative DNA-binding domain
pfam05013	N-formylglutamate amidohydrolase
pfam12699	phiKZ-like phage internal head proteins
pfam15249	Conserved region of unknown function on GLTSCR protein
pfam14202	Transposon-encoded protein TnpW
pfam07978	NIPSNAP 
pfam15495	Major fimbrial subunit protein type IV, Fimbrillin, C-terminal
pfam04407	Protein of unknown function (DUF531)
pfam13579	Glycosyl transferase 4-like domain
pfam18288	Fumarylacetoacetase N-terminal domain 2
pfam02604	Antitoxin Phd_YefM, type II toxin-antitoxin system
pfam12485	Lymphocyte signaling adaptor protein
pfam17145	Domain of unknown function (DUF5119)
pfam18648	Tse2 ADP-ribosyltransferase toxins
pfam15237	PTRF/SDPR family
pfam15018	TRP-interacting helix
pfam10506	PDZ domain of MCC-2 bdg protein for Usher syndrome
pfam08929	Domain of unknown function (DUF1911)
pfam17973	Bacterial Alpha-2-macroglobulin MG10 domain
pfam02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
pfam04730	Agrobacterium VirD5 protein
pfam10820	Protein of unknown function (DUF2543)
pfam15689	Nuclear receptor-interacting protein 1 repression 3
pfam15772	UPF0688 family
pfam08283	Geminivirus rep protein central domain
pfam14470	Bacterial PH domain
pfam05432	Bone sialoprotein II (BSP-II)
pfam05026	Dcp2, box A domain
pfam02660	Glycerol-3-phosphate acyltransferase
pfam19178	Family of unknown function (DUF5860)
pfam08153	NGP1NT (NUC091) domain
pfam18575	HAMP N-terminal domain 3
pfam03853	YjeF-related protein N-terminus
